Story,Cleaned_Story,Sentiment,Sentiment_Score
Since the start of lockdown we were allocated TIs to help on the ward. This has been one of the most beneficial things ever to happen\nTheyve kept us motivated and occupied us when we were struggling.\nIts really helped us with lockdown to stay tocuies and positive. They continue to work hard and do their job.\nMany thanks to all the TIs - theyve really helped us when we needed them most.,since the start of lockdown we were allocated tis to help on the ward this has been one of the most beneficial things ever to happenntheyve kept us motivated and occupied us when we were strugglingnits really helped us with lockdown to stay tocuies and positive they continue to work hard and do their jobnmany thanks to all the tis theyve really helped us when we needed them most,Positive,0.21937229437229436
"I just want to say a big thank you to DRC staff Jo Karen and Jacqui for doing compound Karaoke.\nThey got the songs and sang to us and we all joined in from our ward gardens, it really made our day and they always go our of their way to try and make us happy.",i just want to say a big thank you to drc staff jo karen and jacqui for doing compound karaokenthey got the songs and sang to us and we all joined in from our ward gardens it really made our day and they always go our of their way to try and make us happy,Positive,0.3333333333333333
I love it when the DRC staff come onto my ward. We made birdfeeders and played bingo and always made sure we get our fresh air. All the staff from TED have done a fab job and helped us so much.,i love it when the drc staff come onto my ward we made birdfeeders and played bingo and always made sure we get our fresh air all the staff from ted have done a fab job and helped us so much,Positive,0.375
"I am based in England but was having a tough pregnancy with a few issues so decided to visit my parents in Argyll for a fortnights break at the start of March (2020) at 32 weeks. Then Covid-19 happened and I got stuck - for want of a better word - in the area as things started to get serious and ultimately lockdown was imposed. It was a stressful time as I only had a small hold-all of clothes with me for me and my two-and-a-half-year-old daughter. Moreover, my husband was at our house, several hundred miles away. (Luckily he made it up just before lockdown). I never for a second thought I would have the baby away from home as I assumed the situation would calm down relatively quickly, allowing me to go back in time. Of course it didnt and the decision was taken out of my hands.Despite the unconventional situation, I could not have had a more positive experience, however, both in terms of the care I received from the midwives at Mid-Argyll Hospital in Lochgilphead (Both Karens, Brenda, Nicky, Donna) and at RAH in Paisley. I would also like to mention by name Claire, a midwife based at the Princess Royal who was drafted in to help out during a very busy night for the labour ward. She was the one who actually delivered my baby.I was put at ease within minutes of my first encounter with the mid-Argyll team and incredibly well looked after throughout. I had my son at the beginning of May 2020, 11 days late in Paisley. I had a very traumatic experience with my daughter (down south) for various reasons. This time round, although labour was long and I required some repair work (to put it as nicely as possible) afterwards, was completely different.The after-care was similarly excellent. I would have been impressed in normal times, but to have experienced such kindness and professionalism amid the unprecedented circumstances in which we find ourselves was truly humbling.  I cant quite get my head around the fact that these pivotal life moments, such as giving birth, are populated by people you wont necessarily come across ever again. Total strangers effectively, there in your hour of need.With that in mind, Id just like to say that, although our paths may have crossed only briefly, we will remember forever all you did for us and the lengths you went to to keep us safe. For that, we thank you from the bottom of our hearts.",i am based in england but was having a tough pregnancy with a few issues so decided to visit my parents in argyll for a fortnights break at the start of march at weeks then covid happened and i got stuck for want of a better word in the area as things started to get serious and ultimately lockdown was imposed it was a stressful time as i only had a small holdall of clothes with me for me and my twoandahalfyearold daughter moreover my husband was at our house several hundred miles away luckily he made it up just before lockdown i never for a second thought i would have the baby away from home as i assumed the situation would calm down relatively quickly allowing me to go back in time of course it didnt and the decision was taken out of my handsdespite the unconventional situation i could not have had a more positive experience however both in terms of the care i received from the midwives at midargyll hospital in lochgilphead both karens brenda nicky donna and at rah in paisley i would also like to mention by name claire a midwife based at the princess royal who was drafted in to help out during a very busy night for the labour ward she was the one who actually delivered my babyi was put at ease within minutes of my first encounter with the midargyll team and incredibly well looked after throughout i had my son at the beginning of may days late in paisley i had a very traumatic experience with my daughter down south for various reasons this time round although labour was long and i required some repair work to put it as nicely as possible afterwards was completely differentthe aftercare was similarly excellent i would have been impressed in normal times but to have experienced such kindness and professionalism amid the unprecedented circumstances in which we find ourselves was truly humbling i cant quite get my head around the fact that these pivotal life moments such as giving birth are populated by people you wont necessarily come across ever again total strangers effectively there in your hour of needwith that in mind id just like to say that although our paths may have crossed only briefly we will remember forever all you did for us and the lengths you went to to keep us safe for that we thank you from the bottom of our hearts,Positive,0.16406204906204905
We have had some great staff from DRC & Ted coming onto wards.\nThey are bringing craft stuff and playing games\nIt has been great as all patients who want to get involved can - even seg patients,we have had some great staff from drc ted coming onto wardsnthey are bringing craft stuff and playing gamesnit has been great as all patients who want to get involved can even seg patients,Positive,0.8
We played Bingo and did a ward quiz\nI am in segregation and was allowed to get involved. It was really nice to feel included in ward activity.,we played bingo and did a ward quizni am in segregation and was allowed to get involved it was really nice to feel included in ward activity,Positive,0.6
"Its been good having sessions on ward, because DRC is closed.\nThe staff are very nice and make the activities for us.\nIt passes time and helps staff out on ward",its been good having sessions on ward because drc is closednthe staff are very nice and make the activities for usnit passes time and helps staff out on ward,Positive,0.74
I love the DRC staff\nThey make us do stuff that is fun,i love the drc staffnthey make us do stuff that is fun,Positive,0.4
From bingo to compound karaoke to bringing round a pop shop the TIs have kept us sane during this lockdown. When on wards with us they also play games and do quizzes.\nBig Thanks to all of them :),from bingo to compound karaoke to bringing round a pop shop the tis have kept us sane during this lockdown when on wards with us they also play games and do quizzesnbig thanks to all of them,Neutral,0.0
Dear Kath & DRC Team\nWe would like to thank you on behalf of Ruby A Ward for the delivery service you offered today. It was very thoughtful and you all made our day.\nWe miss our functions and workshop sessions but under these extreme circumstances it is understandable.\nThank you again it was really appreciated\nKeep safe\nSigned\nxxxx\nxxxx\nxxxx\nxxxx,dear kath drc teamnwe would like to thank you on behalf of ruby a ward for the delivery service you offered today it was very thoughtful and you all made our daynwe miss our functions and workshop sessions but under these extreme circumstances it is understandablenthank you again it was really appreciatednkeep safensignednxxxxnxxxxnxxxxnxxxx,Positive,0.19833333333333333
"After contracting COVID-19, I spent 4 weeks in FVRH ICU, three weeks of which I was on a ventilator. During this time, I received the highest possible level of nursing and professional care, and I absolutely acknowledge that it was only due to this incredible team that I was able to return home. The care I received was nothing short of outstanding; regulations dictated that my family could not be by my bedside in hospital but the staff were able to incorporate small reminders of home throughout my time in hospital, and frequently gave me updates from my family and friends. Nothing was too much trouble, andthe staff went above and beyond anything I could have expected to keep me connected to my loved ones, and made it possible to have my wife and sons virtually by my side. This high-quality care was also extended to my family, who were kept informed and involved in all stages of my recovery process. I cant express enoughhow wonderful this team is, and will always remember the people who saved my life.",after contracting covid i spent weeks in fvrh icu three weeks of which i was on a ventilator during this time i received the highest possible level of nursing and professional care and i absolutely acknowledge that it was only due to this incredible team that i was able to return home the care i received was nothing short of outstanding regulations dictated that my family could not be by my bedside in hospital but the staff were able to incorporate small reminders of home throughout my time in hospital and frequently gave me updates from my family and friends nothing was too much trouble andthe staff went above and beyond anything i could have expected to keep me connected to my loved ones and made it possible to have my wife and sons virtually by my side this highquality care was also extended to my family who were kept informed and involved in all stages of my recovery process i cant express enoughhow wonderful this team is and will always remember the people who saved my life,Positive,0.19605263157894734
"My brother was in CCU requiring ventilation and renal dialysis for 3 weeks. He was given a tracheotomy once intubation was discontinued. He came home last week after 7 weeks in Preston Royal. The wonderful staff saved his life - they didnt give up on him. On behalf of his family we want to say thank you so much, please stay safe and strong.",my brother was in ccu requiring ventilation and renal dialysis for weeks he was given a tracheotomy once intubation was discontinued he came home last week after weeks in preston royal the wonderful staff saved his life they didnt give up on him on behalf of his family we want to say thank you so much please stay safe and strong,Positive,0.42666666666666664
I was recently admitted to ward A12 where I was diagnosed with multiple sclerosis and I have to say a huge thank you to the staff who cared for me. Being in there alone with no visitors and getting that news was a very difficult couple of days and the staff were so caring and attentive! Nothing was too much trouble for them! Must say an extra special thank you to staff nurse Sarah and student nurse Sarah who looked after me with such care that I didnt feel alone at such an upsetting time. The care I received was absolutely second to none!,i was recently admitted to ward a where i was diagnosed with multiple sclerosis and i have to say a huge thank you to the staff who cared for me being in there alone with no visitors and getting that news was a very difficult couple of days and the staff were so caring and attentive nothing was too much trouble for them must say an extra special thank you to staff nurse sarah and student nurse sarah who looked after me with such care that i didnt feel alone at such an upsetting time the care i received was absolutely second to none,Positive,0.027922077922077928
"I am a service user at High Wycombe and I am finding all the online Microsoft Teams groups with One Recovery are working very well and I feel very supported. The groups are very similar to being in person, it did take a little time to get used to but I am now confident and very happy with how it all works. All I can say is positive feedback and nothing negative about these groups. I attend at least one group a day including Art, Peer Support, Relapse Prevention, Service User Plus, Recovery Cafe and occasionally meditation group.",i am a service user at high wycombe and i am finding all the online microsoft teams groups with one recovery are working very well and i feel very supported the groups are very similar to being in person it did take a little time to get used to but i am now confident and very happy with how it all works all i can say is positive feedback and nothing negative about these groups i attend at least one group a day including art peer support relapse prevention service user plus recovery cafe and occasionally meditation group,Positive,0.13634297520661154
I had to go for a CT scan and cannot thank the staff enough for their empathy and care. Respect to you all x,i had to go for a ct scan and cannot thank the staff enough for their empathy and care respect to you all x,Neutral,0.0
"Would like to say a big thank you to all staff on ward 22B of Forth Valley Royal Hospital I was admitted for emergency surgery and was looked after excellently by all the staff in ICU, and on the ward, the surgeons and Doctors did an excellent job as did the nurses and all the other staff looked after me great which aided to me having a speed recovery and getting home to my family and friends, all staff are working really hard under very busy and stressful times and they have got the management of covid 19 patients and non infected patients down to a T they are stringent in ensure all guidelines are followed in every way and always make time to chat and make sure your ok, thank you all, carol",would like to say a big thank you to all staff on ward b of forth valley royal hospital i was admitted for emergency surgery and was looked after excellently by all the staff in icu and on the ward the surgeons and doctors did an excellent job as did the nurses and all the other staff looked after me great which aided to me having a speed recovery and getting home to my family and friends all staff are working really hard under very busy and stressful times and they have got the management of covid patients and non infected patients down to a t they are stringent in ensure all guidelines are followed in every way and always make time to chat and make sure your ok thank you all carol,Positive,0.3357777777777778
"I would just like to take a moment to express my heartfelt thanks to all the staff on glen more ward at coathill hospital. Especially Leanne, Paula and carol Anne who have looked after my great uncle and catered for his every need. they have went above and beyond to ensure he was comfortable, settled and during this time where we cannot visit they have kept us fully informed every day. I would like to personally thank the staff nurse Leanne who we have built up such a relationship with. What a fantastic nurse and especially when she had to call to break that horrible news to us she was so sympathetic and caring. we will be forever in your debt. Couldnt recommend this unit and the staff enough.",i would just like to take a moment to express my heartfelt thanks to all the staff on glen more ward at coathill hospital especially leanne paula and carol anne who have looked after my great uncle and catered for his every need they have went above and beyond to ensure he was comfortable settled and during this time where we cannot visit they have kept us fully informed every day i would like to personally thank the staff nurse leanne who we have built up such a relationship with what a fantastic nurse and especially when she had to call to break that horrible news to us she was so sympathetic and caring we will be forever in your debt couldnt recommend this unit and the staff enough,Positive,0.12857142857142856
"My mum had been attending choir and tai-chi at the hospice before going on the 12 week out-patient programme which she absolutely loved. Covid interrupted this but staff continued to call once a week. During the first 7 weeks of lockdown, mum lived with our family but as her care needs increased dramatically she sadly had to be placed in care. This has been a roller-coaster of emotions for all of us and the calls from staff at the hospice were welcomes. Staff understood and empathised and this was invaluable at times. Thank you for your care.",my mum had been attending choir and taichi at the hospice before going on the week outpatient programme which she absolutely loved covid interrupted this but staff continued to call once a week during the first weeks of lockdown mum lived with our family but as her care needs increased dramatically she sadly had to be placed in care this has been a rollercoaster of emotions for all of us and the calls from staff at the hospice were welcomes staff understood and empathised and this was invaluable at times thank you for your care,Positive,0.15
"After reading another positive review on here, I wanted to share my experience too. I felt really listened to and informed my whole pregnancy and supported in my choices by my midwives Kate and then Rosie. Kate helped me feel empowered to choose what was best for me and to know my rights. Rosie provided continual care as well as yoga and hypnobirthing and was very caring and supportive when I got a bit upset after speaking to the obstetrician whose words unintentionally had me doubting my own decision making skills. She took me through my previous birth minute by minute which was exactly what I needed. In the end I am so so thankful to have been able to give birth in Oban hospital - it was a healing experience and took away that lack of control and doubt from my first birth. Miaread was incredible in her unflappable, unobtrusive and intuitive support during labour. The nurse who put in my cannula (though I wasnt able to speak to her by this point) was also really calming and friendly and helped turn around something I was initially afraid of and reluctant to do. I truly couldnt have asked for a better birth experience and never thought I would get the gentle and empowered experience that I did.",after reading another positive review on here i wanted to share my experience too i felt really listened to and informed my whole pregnancy and supported in my choices by my midwives kate and then rosie kate helped me feel empowered to choose what was best for me and to know my rights rosie provided continual care as well as yoga and hypnobirthing and was very caring and supportive when i got a bit upset after speaking to the obstetrician whose words unintentionally had me doubting my own decision making skills she took me through my previous birth minute by minute which was exactly what i needed in the end i am so so thankful to have been able to give birth in oban hospital it was a healing experience and took away that lack of control and doubt from my first birth miaread was incredible in her unflappable unobtrusive and intuitive support during labour the nurse who put in my cannula though i wasnt able to speak to her by this point was also really calming and friendly and helped turn around something i was initially afraid of and reluctant to do i truly couldnt have asked for a better birth experience and never thought i would get the gentle and empowered experience that i did,Positive,0.32420033670033677
"Upon arrival I was greeted by the loveliest blonde lady , I think Linda , who made me feel completely at ease .I was so worked up thinking I was wasting NHS time ...I was them met By Staff Nurse Carol Ann who was also incredibly kind and amazing !What a lovely lovely girl and so suited to her job title .My care was 1st class and I cannot thank both girls enough for there careCarol Ann you are amazing , thank you again so so much for your Kindness and concern...I have broken my shoulder ...I will be most definitely be sharing my story ...I LOVE THE NHS ....",upon arrival i was greeted by the loveliest blonde lady i think linda who made me feel completely at ease i was so worked up thinking i was wasting nhs time i was them met by staff nurse carol ann who was also incredibly kind and amazing what a lovely lovely girl and so suited to her job title my care was st class and i cannot thank both girls enough for there carecarol ann you are amazing thank you again so so much for your kindness and concerni have broken my shoulder i will be most definitely be sharing my story i love the nhs,Positive,0.2846153846153846
"My mother was admitted to KGH at the beginning of May 2020 for a period of 2 days before she sadly died.The staff have lost her personal belongings, including her clothes, dentures and a sentimental gold necklace with a crucifix on that she never took off.Proceedures were not followed regarding listing patients valuables. The staff were negligent with her personal belongings. When attempts were made to contact the wards involved everyone shirked responsibility, we were even made out to be lying! We were treated with contempt, and laughed at, certainly not how youre expected to be treated, especially not when mourning for a loved one gone so suddenly.",my mother was admitted to kgh at the beginning of may for a period of days before she sadly diedthe staff have lost her personal belongings including her clothes dentures and a sentimental gold necklace with a crucifix on that she never took offproceedures were not followed regarding listing patients valuables the staff were negligent with her personal belongings when attempts were made to contact the wards involved everyone shirked responsibility we were even made out to be lying we were treated with contempt and laughed at certainly not how youre expected to be treated especially not when mourning for a loved one gone so suddenly,Positive,0.044285714285714275
I felt desperate. My emotions were out of control. I couldnt focus on anything. The aniexty was affecting every aspect of my life. But since having counselling I have realised my self worth. Ive realised that I took peoples comments very personally. Depression has lifted. And my self confidence is coming back. I am finding myself again as I was totally lost. I cant thank claire enough for her time encouragement & support over the past 3 mths. With her help & support I am slowly getting my life back.,i felt desperate my emotions were out of control i couldnt focus on anything the aniexty was affecting every aspect of my life but since having counselling i have realised my self worth ive realised that i took peoples comments very personally depression has lifted and my self confidence is coming back i am finding myself again as i was totally lost i cant thank claire enough for her time encouragement support over the past mths with her help support i am slowly getting my life back,Negative,-0.09444444444444446
A lady that I work with rang an ambulance at approx 8am. The crew arrived and one of the paramedics came across as arrogant an uncaring and stated that she did not need to go to hospital. She stated that the paramedic wrote her stats wrong on the paperwork and left. Leaving her feeling panicked and really distraught.I spoke to her and suggested we rang her GP who unfortunately wasnt able to offer a telephone consultation until 3.30pm.The GP themselves rang an ambulance as they knew she was quite unwell.It later transpired that she had had a heart attack and was kept in hospital for 5 days.,a lady that i work with rang an ambulance at approx am the crew arrived and one of the paramedics came across as arrogant an uncaring and stated that she did not need to go to hospital she stated that the paramedic wrote her stats wrong on the paperwork and left leaving her feeling panicked and really distraughti spoke to her and suggested we rang her gp who unfortunately wasnt able to offer a telephone consultation until pmthe gp themselves rang an ambulance as they knew she was quite unwellit later transpired that she had had a heart attack and was kept in hospital for days,Negative,-0.05000000000000001
I suffer from rheumatoid arthritis 23 years now. affecting most joints its also affected my lungs and heart I attend gartnavel general hospital Glasgow under care of Dr hunter and Dr porter both of them are the best doctors consultants on the planet so caring and helpfull,i suffer from rheumatoid arthritis years now affecting most joints its also affected my lungs and heart i attend gartnavel general hospital glasgow under care of dr hunter and dr porter both of them are the best doctors consultants on the planet so caring and helpfull,Positive,0.5166666666666667
"I have struggled with ocd for many years and suffered with very low self esteem and intrusive thoughts.I felt so low and alone scared and really out of control of my own thoughts. I felt trapped and like I was a bad person I used to best myself up daily and mentally torture myself. But at Bromley Healthcare, Ifelt safe in my sessions with James",i have struggled with ocd for many years and suffered with very low self esteem and intrusive thoughtsi felt so low and alone scared and really out of control of my own thoughts i felt trapped and like i was a bad person i used to best myself up daily and mentally torture myself but at bromley healthcare ifelt safe in my sessions with james,Positive,0.1636363636363636
"In November 2019 I had a Hip Replacement Surgery at BMI Ross Hall, Glasgow. The replacement went ok but a Fermol Nerve was damaged and over stretched. I have to wear a knee brace to support my knee. I have Osteoarthritis in my knee is swollen and sore. While I know this cant happen just now, I am wondering how to eventually get a second opinion.",in november i had a hip replacement surgery at bmi ross hall glasgow the replacement went ok but a fermol nerve was damaged and over stretched i have to wear a knee brace to support my knee i have osteoarthritis in my knee is swollen and sore while i know this cant happen just now i am wondering how to eventually get a second opinion,Positive,0.15
The care here has been excellent there isnt anything that could make it better. The visiting restrictions I find tough. I find this time with the virus is unreal yet I have lived through the 2nd world war and all the difficulties that brought. I miss seeing my family. I can telephone them on my mobile everyday. They have posted in pictures and my great grandchildrens drawings. That was lovely.I pass the time watching TV and reading. The food is good and varied.,the care here has been excellent there isnt anything that could make it better the visiting restrictions i find tough i find this time with the virus is unreal yet i have lived through the nd world war and all the difficulties that brought i miss seeing my family i can telephone them on my mobile everyday they have posted in pictures and my great grandchildrens drawings that was lovelyi pass the time watching tv and reading the food is good and varied,Positive,0.4018518518518519
I was told to self isolate by my previous job as I used to work in a prison. I felt really bad with it and was worried so phoned 111. The call handler I spoke to was very polite and helpful whilst being efficient. He put my mind at rest.,i was told to self isolate by my previous job as i used to work in a prison i felt really bad with it and was worried so phoned the call handler i spoke to was very polite and helpful whilst being efficient he put my mind at rest,Negative,-0.22222222222222218
"I was put on co codamol tablets for my migraines 5 years ago, at first I was ok only taking them when I got a migraine and they worked so well, I dont know how it started exactly but over time I loved the feeling codeine tablets gave me. I was always happy they would help me to sleep and make me more confident in life. After 2 years my sister finally noticed my addiction and she rang the doctors, which I was then made an appointment to see a doctor and she put me on anti depressants and just told me to stop taking codeine, I did try I managed a year without them, but then I started again but this time it got worse. I was taking 32 tablets within 2 days. I would get angry and agitated if I never took them, I started having therapy for my anxiety which then I told my story of addiction to my therapist, she then referred me to cgl which I wasnt going to go at first as I didnt think anyone could help me and didnt want anyone taking my happy pills away from me, but I was so worried about the damage it was causing to my body. I was also so numb everyday I was in a world of my own, so I went to my appointment with cgl, and they was great. It didnt take long before they put me on a plan to help me ease of the codeine tablets I always thought I was weird that I was addicted to tablets I thought I was the only one until I started reading up and was amazed there was so many others like me that was addicted to codeine and couldnt see a way out, so Im now on espranor tablets I take 10mg a day And theyre working great.The first 2 weeks I was sick but I couldnt believe that I wasnt even thinking of codeine tablets once on espranor, its been 5 months now and I havent had any codeine I havent once thought about it either and Im such a happier person. I didnt realise what damage it was doing to me I didnt even recognise myself I was numb everyday didnt speak to anyone, always tired, I am so thankful to the cgl team they have been great, even call me once a week to see how I am and just for a chat.Ive also found another way to control my migraines and would never touch a codeine tablet again they ruined me and are just so addictive, I urge anyone that can see there getting addicted to get help straight away, I was a lucky one my blood tests came back ok but my insides could have been damaged a lot more if I would of carried on or I could have overdosed myself, a big thank you to cgl they work so so hard and are there to help anyone who has an addiction, they act more like there your friend than doing a job,",i was put on co codamol tablets for my migraines years ago at first i was ok only taking them when i got a migraine and they worked so well i dont know how it started exactly but over time i loved the feeling codeine tablets gave me i was always happy they would help me to sleep and make me more confident in life after years my sister finally noticed my addiction and she rang the doctors which i was then made an appointment to see a doctor and she put me on anti depressants and just told me to stop taking codeine i did try i managed a year without them but then i started again but this time it got worse i was taking tablets within days i would get angry and agitated if i never took them i started having therapy for my anxiety which then i told my story of addiction to my therapist she then referred me to cgl which i wasnt going to go at first as i didnt think anyone could help me and didnt want anyone taking my happy pills away from me but i was so worried about the damage it was causing to my body i was also so numb everyday i was in a world of my own so i went to my appointment with cgl and they was great it didnt take long before they put me on a plan to help me ease of the codeine tablets i always thought i was weird that i was addicted to tablets i thought i was the only one until i started reading up and was amazed there was so many others like me that was addicted to codeine and couldnt see a way out so im now on espranor tablets i take mg a day and theyre working greatthe first weeks i was sick but i couldnt believe that i wasnt even thinking of codeine tablets once on espranor its been months now and i havent had any codeine i havent once thought about it either and im such a happier person i didnt realise what damage it was doing to me i didnt even recognise myself i was numb everyday didnt speak to anyone always tired i am so thankful to the cgl team they have been great even call me once a week to see how i am and just for a chative also found another way to control my migraines and would never touch a codeine tablet again they ruined me and are just so addictive i urge anyone that can see there getting addicted to get help straight away i was a lucky one my blood tests came back ok but my insides could have been damaged a lot more if i would of carried on or i could have overdosed myself a big thank you to cgl they work so so hard and are there to help anyone who has an addiction they act more like there your friend than doing a job,Positive,0.09693452380952382
I have found the care here to be excellent. Dont like being moved from one ward to another. I find it difficult initially when my routine is changed. But I have been able to adjust. Not having visitors is not bothering me as I have very few visitors at home.,i have found the care here to be excellent dont like being moved from one ward to another i find it difficult initially when my routine is changed but i have been able to adjust not having visitors is not bothering me as i have very few visitors at home,Positive,0.148
"Hello JulieI just wanted to feed back to you once again how thankful AE was with all your support during her complex discharge planning, as youre aware she required an advocate as she felt her family were not supporting her with her wishes and feelings. A was extremely thankful for all your time and effort in keeping in touch via phone call e-mail & skype during these difficult times, she has consistently told me she had full trust in you as an advocate and felt you were fighting her corner. As a DLN I would also like to thank you for all of the support you have provided patients on my caseload. By the very nature of my role and referrals I receive patients can be extremely complex with very difficult family dynamics working alongside you is a great support to both myself and the patients you advocate for.",hello juliei just wanted to feed back to you once again how thankful ae was with all your support during her complex discharge planning as youre aware she required an advocate as she felt her family were not supporting her with her wishes and feelings a was extremely thankful for all your time and effort in keeping in touch via phone call email skype during these difficult times she has consistently told me she had full trust in you as an advocate and felt you were fighting her corner as a dln i would also like to thank you for all of the support you have provided patients on my caseload by the very nature of my role and referrals i receive patients can be extremely complex with very difficult family dynamics working alongside you is a great support to both myself and the patients you advocate for,Negative,-0.012500000000000002
"I commenced the online peer to peer groups with Marios about 3 weeks ago. Prior to attending the online group, I was apprehensive, wondering what information will be shared. I was also worried about showing my face, but realizing actually if I didnt, I would not have had the same experience.The people in the group are from all walks of life and what is fascinating is the non judgmental aspect of the meeting. It was really useful and really gave me strength and almost come off the session and more relaxed and calm.Mario is an excellent host. He makes people feel at ease, encourages respect and open conversation. I look forward to actually attending these sessions and feel I come further with each one.Thank you for your support.",i commenced the online peer to peer groups with marios about weeks ago prior to attending the online group i was apprehensive wondering what information will be shared i was also worried about showing my face but realizing actually if i didnt i would not have had the same experiencethe people in the group are from all walks of life and what is fascinating is the non judgmental aspect of the meeting it was really useful and really gave me strength and almost come off the session and more relaxed and calmmario is an excellent host he makes people feel at ease encourages respect and open conversation i look forward to actually attending these sessions and feel i come further with each onethank you for your support,Positive,0.24545454545454548
